cell,population,mean,std,stderr
9052,14397,272.48,19.03,2.69
1782,14177,219.16,15.77,2.23
2429,14174,186.42,14.59,2.06
9187,14156,292.50,15.90,2.25
4624,14094,172.26,12.77,1.81
3185,14011,235.66,12.39,1.75
6830,13768,239.48,13.44,1.90
6826,13430,243.00,16.35,2.31
6834,12912,226.70,14.40,2.04
5556,12627,254.52,14.22,2.01
2493,11979,222.44,15.55,2.20
9046,11837,257.62,13.54,1.91
968,11776,143.18,12.55,1.77
9316,11431,249.08,13.81,1.95
8626,11351,280.10,16.13,2.28
9186,11288,283.94,16.49,2.33
5385,11271,607.94,23.86,3.37
7001,11251,224.68,13.88,1.96
8911,11061,278.38,16.26,2.30
1783,11053,220.54,15.07,2.13
4520,11012,656.32,33.13,4.69
2294,10946,231.98,15.54,2.20
8628,10744,269.10,14.29,2.02
5558,10524,245.92,18.77,2.65
8768,10406,300.66,16.76,2.37
6993,10185,234.00,16.08,2.27
5261,10178,260.38,17.10,2.42
5408,10099,259.14,14.81,2.10
5221,9923,272.64,19.05,2.69
8765,9721,298.16,13.50,1.91
4521,9572,609.96,21.23,3.00
8763,9501,253.96,21.37,3.02
8912,9491,257.04,14.94,2.11
8487,9379,230.16,15.16,2.14
5072,9253,239.44,15.15,2.14
10377,9153,132.68,11.65,1.65
10366,8970,141.80,12.29,1.74
3969,8892,224.20,14.95,2.11
2605,8883,226.88,12.16,1.72
8764,8736,270.86,16.40,2.32
8473,8701,171.60,11.35,1.60
5234,8587,499.62,18.83,2.66
6672,8541,199.92,13.87,1.96
1599,8446,212.14,17.89,2.53
9878,8419,183.90,14.65,2.07
8906,8291,286.04,19.88,2.81
3940,8260,299.90,15.12,2.14
5476,8084,163.32,13.84,1.96
9426,8054,160.50,13.47,1.90
3762,7928,150.82,13.24,1.87
8905,7922,260.82,17.13,2.42
5258,7911,247.04,15.87,2.24
5257,7809,250.02,17.87,2.53
2538,7804,191.12,12.53,1.77
8914,7776,218.90,13.77,1.95
6543,7763,123.60,11.61,1.64
5384,7746,593.18,23.69,3.35
8769,7737,274.34,17.03,2.41
9053,7726,252.04,15.50,2.19
9932,7676,180.72,13.98,1.98
2193,7653,226.72,13.99,1.98
5989,7642,315.90,19.91,2.82
5988,7583,325.88,18.88,2.67
8625,7574,273.84,17.48,2.47
9877,7530,181.18,12.24,1.73
8762,7489,235.46,15.85,2.24
6831,7472,239.02,14.91,2.11
4478,7468,177.44,12.33,1.74
2321,7433,187.50,12.22,1.73
1981,7413,219.70,13.52,1.91
9045,7395,239.12,15.01,2.12
3654,7394,189.00,15.37,2.17
5705,7370,245.40,14.85,2.10
9044,7364,218.56,13.02,1.84
9140,7274,149.44,9.66,1.37
5117,7264,255.20,17.87,2.53
9182,7252,214.60,13.80,1.95
2749,7121,250.58,14.73,2.08
8488,7094,218.78,13.79,1.95
5871,7074,173.80,12.85,1.82
2604,7054,221.34,15.74,2.23
899,6432,144.94,13.41,1.90
5387,4622,530.50,20.03,2.83
2220,3793,182.80,13.78,1.95
3071,3540,250.42,13.61,1.92
5519,3208,278.94,18.87,2.67
7150,3116,241.74,12.49,1.77
6329,2866,242.24,13.90,1.97
6323,2712,250.22,15.91,2.25
2851,2620,253.20,17.99,2.54
7666,2512,180.68,14.30,2.02
9936,2480,176.30,15.02,2.12
2869,2319,222.82,16.66,2.36
5375,2281,304.52,17.37,2.46
4671,2201,415.90,18.01,2.55
4515,2159,421.04,19.01,2.69
9667,2092,193.14,12.69,1.79
6241,2024,152.70,11.95,1.69
2992,1974,202.20,14.62,2.07
4365,1920,300.46,16.65,2.35
3931,1881,246.80,14.27,2.02
1641,1833,173.80,13.66,1.93
9523,1777,127.64,11.20,1.58
4076,1759,294.96,17.65,2.50
1801,1724,203.30,11.27,1.59
3881,1665,83.14,9.00,1.27
7497,1655,206.86,14.07,1.99
6349,1630,161.54,11.15,1.58
1073,1588,170.62,14.58,2.06
9571,1560,170.64,13.59,1.92
3177,1529,204.20,15.33,2.17
1985,1511,215.84,14.70,2.08
5479,1488,167.76,13.06,1.85
1285,1455,183.94,15.99,2.26
10357,1430,144.06,10.24,1.45
3918,1401,188.72,15.18,2.15
1338,1390,131.42,10.82,1.53
10150,1353,134.84,11.57,1.64
2264,1329,164.32,14.08,1.99
853,1319,150.38,12.12,1.71
7266,1292,182.34,15.89,2.25
9715,1264,187.00,13.69,1.94
9712,1258,180.32,13.37,1.89
7673,1219,153.18,11.48,1.62
10356,1212,145.80,11.89,1.68
919,1182,153.64,10.19,1.44
1814,1176,188.72,13.29,1.88
2347,1161,110.56,10.67,1.51
8678,1134,177.08,16.31,2.31
9404,1111,121.88,10.25,1.45
2212,1105,194.82,14.10,1.99
10397,1081,145.26,12.13,1.72
9193,1072,216.78,13.45,1.90
9716,1050,190.74,12.63,1.79
5921,1035,155.92,12.45,1.76
5270,1022,195.80,15.98,2.26
2446,1012,133.48,10.62,1.50
1631,991,181.48,13.05,1.85
3409,966,185.42,14.27,2.02
4178,962,147.22,13.49,1.91
1845,943,129.22,10.40,1.47
6098,934,176.72,14.48,2.05
10164,915,154.24,11.50,1.63
598,903,136.50,12.53,1.77
10611,892,132.36,12.03,1.70
1944,875,120.16,11.50,1.63
3390,867,146.38,9.69,1.37
10119,847,158.08,12.09,1.71
10350,833,146.06,12.00,1.70
1100,822,150.58,14.52,2.05
3749,806,85.82,7.52,1.06
4131,804,141.68,9.41,1.33
1572,781,133.06,12.25,1.73
4780,768,195.34,16.18,2.29
837,761,127.58,10.98,1.55
8676,746,183.66,11.05,1.56
10450,736,141.36,13.26,1.88
1948,726,104.10,10.10,1.43
362,710,116.70,10.23,1.45
1408,694,145.62,12.27,1.73
1662,687,124.78,12.15,1.72
4448,670,94.36,9.73,1.38
5032,659,143.78,11.92,1.69
874,639,151.18,12.65,1.79
10023,633,146.80,11.94,1.69
4866,615,114.12,10.58,1.50
7546,598,97.28,8.13,1.15
4863,591,123.18,12.13,1.72
6688,580,135.48,14.08,1.99
3014,560,137.58,9.42,1.33
6282,547,196.50,13.03,1.84
7413,534,178.54,12.85,1.82
196,512,108.42,10.62,1.50
925,501,154.26,13.93,1.97
5468,483,141.84,11.44,1.62
4039,469,155.46,13.07,1.85
388,439,125.38,11.41,1.61
4725,436,115.28,8.13,1.15
4135,404,129.22,13.77,1.95
5011,393,111.64,10.78,1.52
10932,377,83.88,9.89,1.40
8745,346,118.42,10.96,1.55
7999,320,128.68,12.52,1.77
8885,301,97.54,9.95,1.41
4182,275,156.02,12.99,1.84
7362,259,110.48,9.99,1.41
6718,219,94.90,10.91,1.54
6721,189,77.02,8.65,1.22
6223,167,84.16,9.06,1.28
