cell,population,mean,std,stderr
4949,206607,892.32,32.01,4.53
4950,203266,916.44,33.13,4.69
4951,198690,836.52,31.00,4.38
4808,197239,861.00,25.74,3.64
5093,193272,848.30,25.76,3.64
4809,192275,889.18,27.57,3.90
5094,179963,779.34,24.30,3.44
4810,177846,808.90,20.41,2.89
5092,169152,832.92,27.50,3.89
4948,150277,809.94,23.45,3.32
4665,139452,751.20,26.96,3.81
4807,132036,768.42,25.40,3.59
5091,125794,748.78,28.81,4.07
4666,117418,778.30,29.06,4.11
4667,79353,721.12,23.72,3.35
4952,71110,729.54,27.45,3.88
5238,70961,736.92,26.38,3.73
5239,65736,695.90,22.07,3.12
8909,57734,319.10,17.89,2.53
8908,57432,319.64,20.59,2.91
5095,56753,705.56,31.15,4.41
4947,53601,676.12,26.01,3.68
9049,44761,314.78,17.80,2.52
5237,43323,731.44,26.21,3.71
4811,42356,709.46,27.45,3.88
5090,42086,650.08,22.97,3.25
8766,40627,305.88,16.35,2.31
9050,36919,311.82,16.06,2.27
4664,35906,699.32,29.80,4.22
5262,33487,247.42,16.61,2.35
4806,32347,654.78,25.51,3.61
8767,31747,315.18,16.72,2.36
8910,29396,301.36,19.36,2.74
8907,28492,310.02,18.01,2.55
1689,25584,212.70,16.39,2.32
9048,25019,302.24,17.94,2.54
5240,24899,622.96,25.99,3.68
4519,23201,643.64,20.22,2.86
5409,21151,259.66,18.20,2.57
5220,20997,263.38,16.14,2.28
2863,20452,251.68,13.48,1.91
1690,19411,216.06,12.25,1.73
9933,19315,176.92,13.54,1.91
9051,18793,301.08,17.91,2.53
5236,18377,673.54,26.03,3.68
2864,17321,251.64,17.28,2.44
5872,17118,170.84,10.63,1.50
4668,16373,642.14,17.62,2.49
9047,16191,280.46,12.82,1.81
5367,15761,265.50,16.31,2.31
9934,15603,182.12,13.81,1.95
5366,15563,260.84,14.31,2.02
5219,14977,268.18,13.11,1.85
4236,14783,359.88,22.15,3.13
5557,14537,251.02,12.35,1.75
