cell,population,mean,std,stderr
5988,7583,454.56,19.50,2.76
8625,7574,281.66,16.64,2.35
9877,7530,362.54,18.41,2.60
8762,7489,311.22,17.51,2.48
6831,7472,625.52,24.31,3.44
4478,7468,430.66,23.08,3.26
2321,7433,489.02,22.57,3.19
1981,7413,304.44,19.44,2.75
9045,7395,360.94,20.74,2.93
3654,7394,306.08,17.55,2.48
5705,7370,686.98,26.20,3.71
9044,7364,254.36,14.25,2.02
9140,7274,391.46,19.45,2.75
5117,7264,790.80,28.39,4.02
9182,7252,341.30,22.41,3.17
2749,7121,889.36,24.47,3.46
8488,7094,322.16,17.47,2.47
5871,7074,504.76,29.05,4.11
2604,7054,481.04,17.50,2.48
899,6432,407.12,20.95,2.96
5387,4622,488.64,23.18,3.28
2220,3793,354.28,14.87,2.10
3071,3540,356.98,18.36,2.60
5519,3208,390.30,17.73,2.51
7150,3116,293.60,15.82,2.24
6329,2866,268.44,15.75,2.23
6323,2712,157.28,12.62,1.78
2851,2620,227.04,13.14,1.86
7666,2512,134.26,11.35,1.61
9936,2480,330.84,16.99,2.40
2869,2319,346.02,15.05,2.13
5375,2281,388.66,19.89,2.81
4671,2201,396.34,24.52,3.47
4515,2159,986.00,28.57,4.04
9667,2092,202.62,13.91,1.97
6241,2024,157.50,12.68,1.79
2992,1974,211.88,14.46,2.04
4365,1920,330.64,18.86,2.67
3931,1881,294.32,15.72,2.22
1641,1833,146.02,14.09,1.99
9523,1777,112.48,11.27,1.59
4076,1759,348.66,19.43,2.75
1801,1724,248.64,14.57,2.06
3881,1665,65.10,8.95,1.27
7497,1655,200.24,13.69,1.94
6349,1630,315.02,16.09,2.28
1073,1588,305.54,14.44,2.04
9571,1560,191.24,13.46,1.90
3177,1529,233.48,13.08,1.85
1985,1511,154.92,10.86,1.54
5479,1488,135.20,11.38,1.61
1285,1455,221.04,11.73,1.66
10357,1430,221.14,17.01,2.41
3918,1401,223.72,13.01,1.84
1338,1390,138.16,11.19,1.58
10150,1353,130.82,11.37,1.61
