ORIG_FID,MBG_Width,MBG_Length,MBG_Orient
13,67.602999999999994,82.688000000000002,80.3000031
15,41.128000000000000,73.792000000000002,13.8999996
20,73.247000000000000,115.674000000000007,119.5999985
