OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,DIST_KM
,13,20,40397.394654999996419,1,40.399999999999999
,13,16,40967.350752099999227,2,40.969999999999999
,13,15,47581.940486899999087,3,47.579999999999998
,13,3,70011.292809499995201,4,70.010000000000005
,13,14,79621.124072000005981,5,79.620000000000005
,13,5,86978.709924499999033,6,86.980000000000004
,13,18,96651.646940299993730,7,96.650000000000006
,13,21,100742.314691000006860,8,100.739999999999995
,13,24,113870.982826999999816,9,113.870000000000005
,13,4,121561.695718000002671,10,121.560000000000002
,13,22,127285.672510999997030,11,127.290000000000006
,13,32,127898.080619000000297,12,127.900000000000006
,13,12,129892.763535999998567,13,129.889999999999986
,13,19,135349.345758000010392,14,135.349999999999994
,13,31,138319.125304999994114,15,138.319999999999993
,13,23,143671.410648999997647,16,143.669999999999987
,13,33,145730.178627999994205,17,145.729999999999990
,13,2,170530.688205000013113,18,170.530000000000001
,13,41,170965.001038999995217,19,170.969999999999999
,13,9,179041.984915000008186,20,179.039999999999992
,13,0,183509.533289999992121,21,183.509999999999991
,13,17,192722.348887000000104,22,192.719999999999999
,13,42,193725.591736000002129,23,193.729999999999990
,13,1,208768.967158000014024,24,208.770000000000010
,13,34,211072.704270999995060,25,211.069999999999993
,13,40,213047.524321000004420,26,213.050000000000011
,13,30,215129.510222000011709,27,215.129999999999995
,13,10,232762.090896000008797,28,232.759999999999991
,13,38,240265.975612999987788,29,240.270000000000010
,13,8,240430.161095999996178,30,240.430000000000007
,13,11,247174.213236000010511,31,247.169999999999987
,13,37,257749.205346000002464,32,257.750000000000000
,13,6,264670.230449999973644,33,264.670000000000016
,13,43,266849.955176000017673,34,266.850000000000023
,13,35,278121.989248000027146,35,278.120000000000005
,13,39,287226.182463000004645,36,287.230000000000018
,13,44,290445.577449999982491,37,290.449999999999989
,13,29,301813.973732999991626,38,301.810000000000002
,13,28,314109.376565999991726,39,314.110000000000014
,13,7,320978.803636999975424,40,320.980000000000018
,13,36,353993.309173999994528,41,353.990000000000009
,13,27,390276.590430999989621,42,390.279999999999973
,13,25,391613.097826000011992,43,391.610000000000014
,13,26,451982.389097000006586,44,451.980000000000018
,15,13,47581.940486899999087,1,47.579999999999998
,15,18,49228.598143499999424,2,49.229999999999997
,15,3,49868.725872000002710,3,49.869999999999997
,15,16,54967.414007200000924,4,54.969999999999999
,15,20,83351.695654199997080,5,83.349999999999994
,15,19,87773.839550899996539,6,87.769999999999996
,15,22,96604.559508899998036,7,96.599999999999994
,15,4,98400.349375000005239,8,98.400000000000006
,15,24,108874.709031999998842,9,108.870000000000005
,15,5,109946.598643999997876,10,109.950000000000003
,15,14,120265.873407000006409,11,120.269999999999996
,15,41,124635.577736999999615,12,124.640000000000001
,15,2,131839.215165000001434,13,131.840000000000003
,15,42,147682.725899000011850,14,147.680000000000007
,15,21,147765.731743000011193,15,147.770000000000010
,15,17,150160.958703999989666,16,150.159999999999997
,15,31,154012.461149999988265,17,154.009999999999991
,15,23,154253.835454999993090,18,154.250000000000000
,15,12,169681.072955000010552,19,169.680000000000007
,15,0,169722.594832000002498,20,169.719999999999999
,15,32,170620.398316000006162,21,170.620000000000005
,15,1,180669.170442000002367,22,180.669999999999987
,15,40,187073.215552999987267,23,187.069999999999993
,15,33,193056.055376000003889,24,193.060000000000002
,15,9,202038.853047000011429,25,202.039999999999992
,15,30,215623.230275000008987,26,215.620000000000005
,15,43,226962.697871000011219,27,226.960000000000008
,15,8,227422.548876999993809,28,227.419999999999987
,15,38,242103.756951999996090,29,242.099999999999994
,15,34,257029.262014999985695,30,257.029999999999973
,15,44,259692.261154999985592,31,259.689999999999998
,15,6,262907.980324000003748,32,262.910000000000025
,15,10,270860.157546999980696,33,270.860000000000014
,15,39,275568.140988000028301,34,275.569999999999993
,15,37,275641.237606999988202,35,275.639999999999986
,15,11,276566.399900000018533,36,276.569999999999993
,15,7,304235.176422999997158,37,304.240000000000009
,15,29,307524.521155000024009,38,307.519999999999982
,15,35,322071.901269000023603,39,322.069999999999993
,15,28,329071.236326000012923,40,329.069999999999993
,15,25,369503.036446999991313,41,369.500000000000000
,15,27,384507.689009999972768,42,384.509999999999991
,15,36,391330.008163999998942,43,391.329999999999984
,15,26,437287.771455999987666,44,437.290000000000020
,20,13,40397.394654999996419,1,40.399999999999999
,20,5,59689.359414899998228,2,59.689999999999998
,20,21,67201.436020599998301,3,67.200000000000003
,20,16,76727.467393600003561,4,76.730000000000004
,20,14,80636.145471399999224,5,80.640000000000001
,20,15,83351.695654199997080,6,83.349999999999994
,20,3,85071.000579200001084,7,85.069999999999993
,20,32,87937.548091000004206,8,87.939999999999998
,20,31,111836.674981000003754,9,111.840000000000003
,20,33,120181.766050000005635,10,120.180000000000007
,20,12,126420.954192999997758,11,126.420000000000002
,20,4,129454.896385000000009,12,129.449999999999989
,20,18,129941.121608000001288,13,129.939999999999998
,20,24,148967.374543000012636,14,148.969999999999999
,20,22,167622.500639000005322,15,167.620000000000005
,20,19,169466.386853000003612,16,169.469999999999999
,20,23,169467.769101999991108,17,169.469999999999999
,20,0,178559.121347000007518,18,178.560000000000002
,20,2,189345.287933999992674,19,189.349999999999994
,20,34,190201.172010999987833,20,190.199999999999989
,20,9,193494.218125999992481,21,193.490000000000009
,20,30,196914.841252000012901,22,196.909999999999997
,20,41,207965.978651000012178,23,207.969999999999999
,20,1,215526.516800000012154,24,215.530000000000001
,20,42,221776.410600000002887,25,221.780000000000001
,20,10,227562.027361999993445,26,227.560000000000002
,20,17,232087.732610000006389,27,232.090000000000003
,20,8,232516.155200000008335,28,232.520000000000010
,20,6,246843.362866000010399,29,246.840000000000003
,20,40,252446.858731999993324,30,252.449999999999989
,20,11,252893.574760999996215,31,252.889999999999986
,20,35,261466.635003000003053,32,261.470000000000027
,20,38,268463.167842000024393,33,268.459999999999980
,20,37,274325.960452999977861,34,274.329999999999984
,20,29,277640.580957000027411,35,277.639999999999986
,20,28,283505.029243999975733,36,283.509999999999991
,20,43,284700.710818000021391,37,284.699999999999989
,20,44,297724.675700999971014,38,297.720000000000027
,20,7,314482.676113999972586,39,314.480000000000018
,20,39,321614.576119999983348,40,321.610000000000014
,20,36,347910.438940999971237,41,347.910000000000025
,20,27,373658.975396999972872,42,373.660000000000025
,20,25,389009.066102000011597,43,389.009999999999991
,20,26,442147.625273999990895,44,442.149999999999977
